epoch_cnt: 24, time: 310.62s, tr_loss: 0.19, val_loss: 0.32, F1_overall: 0.85, ER_overall: 0.24, doa_error_gt: 0.36, doa_error_pred: 0.29, good_pks_ratio:0.89, error_metric: 0.15, best_error_metric: 0.15, best_epoch : 22
epoch_cnt: 25, time: 311.41s, tr_loss: 0.17, val_loss: 0.30, F1_overall: 0.87, ER_overall: 0.22, doa_error_gt: 0.34, doa_error_pred: 0.28, good_pks_ratio:0.90, error_metric: 0.14, best_error_metric: 0.14, best_epoch : 25
epoch_cnt: 26, time: 312.54s, tr_loss: 0.15, val_loss: 0.29, F1_overall: 0.87, ER_overall: 0.23, doa_error_gt: 0.34, doa_error_pred: 0.30, good_pks_ratio:0.91, error_metric: 0.14, best_error_metric: 0.14, best_epoch : 26
epoch_cnt: 27, time: 311.15s, tr_loss: 0.16, val_loss: 0.29, F1_overall: 0.88, ER_overall: 0.21, doa_error_gt: 0.34, doa_error_pred: 0.29, good_pks_ratio:0.91, error_metric: 0.13, best_error_metric: 0.13, best_epoch : 27
epoch_cnt: 28, time: 310.02s, tr_loss: 0.15, val_loss: 0.30, F1_overall: 0.88, ER_overall: 0.22, doa_error_gt: 0.36, doa_error_pred: 0.29, good_pks_ratio:0.90, error_metric: 0.14, best_error_metric: 0.13, best_epoch : 27
epoch_cnt: 29, time: 314.54s, tr_loss: 0.15, val_loss: 0.27, F1_overall: 0.88, ER_overall: 0.22, doa_error_gt: 0.31, doa_error_pred: 0.27, good_pks_ratio:0.92, error_metric: 0.13, best_error_metric: 0.13, best_epoch : 27
epoch_cnt: 30, time: 318.10s, tr_loss: 0.14, val_loss: 0.31, F1_overall: 0.86, ER_overall: 0.25, doa_error_gt: 0.33, doa_error_pred: 0.28, good_pks_ratio:0.92, error_metric: 0.14, best_error_metric: 0.13, best_epoch : 27
epoch_cnt: 31, time: 311.60s, tr_loss: 0.14, val_loss: 0.26, F1_overall: 0.89, ER_overall: 0.20, doa_error_gt: 0.31, doa_error_pred: 0.27, good_pks_ratio:0.93, error_metric: 0.12, best_error_metric: 0.12, best_epoch : 31
epoch_cnt: 32, time: 310.23s, tr_loss: 0.13, val_loss: 0.26, F1_overall: 0.88, ER_overall: 0.22, doa_error_gt: 0.31, doa_error_pred: 0.27, good_pks_ratio:0.93, error_metric: 0.13, best_error_metric: 0.12, best_epoch : 31
epoch_cnt: 33, time: 310.45s, tr_loss: 0.14, val_loss: 0.32, F1_overall: 0.84, ER_overall: 0.28, doa_error_gt: 0.36, doa_error_pred: 0.30, good_pks_ratio:0.91, error_metric: 0.16, best_error_metric: 0.12, best_epoch : 31
epoch_cnt: 34, time: 310.33s, tr_loss: 0.13, val_loss: 0.27, F1_overall: 0.87, ER_overall: 0.23, doa_error_gt: 0.31, doa_error_pred: 0.27, good_pks_ratio:0.93, error_metric: 0.13, best_error_metric: 0.12, best_epoch : 31
epoch_cnt: 35, time: 311.38s, tr_loss: 0.13, val_loss: 0.29, F1_overall: 0.86, ER_overall: 0.25, doa_error_gt: 0.31, doa_error_pred: 0.27, good_pks_ratio:0.93, error_metric: 0.14, best_error_metric: 0.12, best_epoch : 31
epoch_cnt: 36, time: 311.41s, tr_loss: 0.14, val_loss: 0.32, F1_overall: 0.84, ER_overall: 0.29, doa_error_gt: 0.35, doa_error_pred: 0.29, good_pks_ratio:0.90, error_metric: 0.16, best_error_metric: 0.12, best_epoch : 31
epoch_cnt: 37, time: 310.64s, tr_loss: 0.14, val_loss: 0.28, F1_overall: 0.87, ER_overall: 0.24, doa_error_gt: 0.30, doa_error_pred: 0.26, good_pks_ratio:0.93, error_metric: 0.13, best_error_metric: 0.12, best_epoch : 31
epoch_cnt: 38, time: 309.95s, tr_loss: 0.13, val_loss: 0.30, F1_overall: 0.86, ER_overall: 0.25, doa_error_gt: 0.35, doa_error_pred: 0.29, good_pks_ratio:0.91, error_metric: 0.15, best_error_metric: 0.12, best_epoch : 31
epoch_cnt: 39, time: 310.43s, tr_loss: 0.12, val_loss: 0.28, F1_overall: 0.87, ER_overall: 0.22, doa_error_gt: 0.31, doa_error_pred: 0.28, good_pks_ratio:0.93, error_metric: 0.13, best_error_metric: 0.12, best_epoch : 31
epoch_cnt: 40, time: 311.29s, tr_loss: 0.13, val_loss: 0.28, F1_overall: 0.86, ER_overall: 0.25, doa_error_gt: 0.32, doa_error_pred: 0.27, good_pks_ratio:0.93, error_metric: 0.14, best_error_metric: 0.12, best_epoch : 31
epoch_cnt: 41, time: 311.05s, tr_loss: 0.12, val_loss: 0.27, F1_overall: 0.87, ER_overall: 0.23, doa_error_gt: 0.30, doa_error_pred: 0.25, good_pks_ratio:0.93, error_metric: 0.13, best_error_metric: 0.12, best_epoch : 31
epoch_cnt: 42, time: 311.86s, tr_loss: 0.11, val_loss: 0.26, F1_overall: 0.87, ER_overall: 0.23, doa_error_gt: 0.28, doa_error_pred: 0.25, good_pks_ratio:0.94, error_metric: 0.13, best_error_metric: 0.12, best_epoch : 31
epoch_cnt: 43, time: 311.50s, tr_loss: 0.11, val_loss: 0.30, F1_overall: 0.87, ER_overall: 0.22, doa_error_gt: 0.31, doa_error_pred: 0.26, good_pks_ratio:0.93, error_metric: 0.13, best_error_metric: 0.12, best_epoch : 31
epoch_cnt: 44, time: 311.31s, tr_loss: 0.13, val_loss: 0.26, F1_overall: 0.88, ER_overall: 0.22, doa_error_gt: 0.29, doa_error_pred: 0.25, good_pks_ratio:0.94, error_metric: 0.12, best_error_metric: 0.12, best_epoch : 31
epoch_cnt: 45, time: 310.31s, tr_loss: 0.12, val_loss: 0.26, F1_overall: 0.89, ER_overall: 0.19, doa_error_gt: 0.31, doa_error_pred: 0.27, good_pks_ratio:0.94, error_metric: 0.12, best_error_metric: 0.12, best_epoch : 45
epoch_cnt: 46, time: 309.91s, tr_loss: 0.14, val_loss: 0.27, F1_overall: 0.88, ER_overall: 0.21, doa_error_gt: 0.31, doa_error_pred: 0.27, good_pks_ratio:0.93, error_metric: 0.12, best_error_metric: 0.12, best_epoch : 45
epoch_cnt: 47, time: 311.65s, tr_loss: 0.11, val_loss: 0.25, F1_overall: 0.88, ER_overall: 0.21, doa_error_gt: 0.29, doa_error_pred: 0.25, good_pks_ratio:0.93, error_metric: 0.12, best_error_metric: 0.12, best_epoch : 45
epoch_cnt: 48, time: 311.09s, tr_loss: 0.11, val_loss: 0.24, F1_overall: 0.89, ER_overall: 0.20, doa_error_gt: 0.29, doa_error_pred: 0.25, good_pks_ratio:0.94, error_metric: 0.12, best_error_metric: 0.12, best_epoch : 48
epoch_cnt: 49, time: 312.20s, tr_loss: 0.10, val_loss: 0.27, F1_overall: 0.87, ER_overall: 0.23, doa_error_gt: 0.31, doa_error_pred: 0.28, good_pks_ratio:0.94, error_metric: 0.13, best_error_metric: 0.12, best_epoch : 48
