epoch_cnt: 24, time: 316.73s, tr_loss: 3.67, val_loss: 3.95, F1_overall: 0.56, ER_overall: 0.56, doa_error_gt: 0.85, doa_error_pred: 0.63, good_pks_ratio:0.25, error_metric: 0.51, best_error_metric: 0.51, best_epoch : 24
epoch_cnt: 25, time: 316.46s, tr_loss: 3.63, val_loss: 3.95, F1_overall: 0.57, ER_overall: 0.56, doa_error_gt: 0.84, doa_error_pred: 0.63, good_pks_ratio:0.26, error_metric: 0.50, best_error_metric: 0.50, best_epoch : 25
epoch_cnt: 26, time: 317.66s, tr_loss: 3.58, val_loss: 3.97, F1_overall: 0.58, ER_overall: 0.55, doa_error_gt: 0.84, doa_error_pred: 0.62, good_pks_ratio:0.27, error_metric: 0.49, best_error_metric: 0.49, best_epoch : 26
epoch_cnt: 27, time: 318.42s, tr_loss: 3.54, val_loss: 3.92, F1_overall: 0.58, ER_overall: 0.55, doa_error_gt: 0.84, doa_error_pred: 0.62, good_pks_ratio:0.28, error_metric: 0.49, best_error_metric: 0.49, best_epoch : 27
epoch_cnt: 28, time: 317.88s, tr_loss: 3.49, val_loss: 3.90, F1_overall: 0.59, ER_overall: 0.54, doa_error_gt: 0.83, doa_error_pred: 0.61, good_pks_ratio:0.27, error_metric: 0.49, best_error_metric: 0.49, best_epoch : 28
epoch_cnt: 29, time: 314.26s, tr_loss: 3.45, val_loss: 4.04, F1_overall: 0.56, ER_overall: 0.58, doa_error_gt: 0.84, doa_error_pred: 0.61, good_pks_ratio:0.29, error_metric: 0.50, best_error_metric: 0.49, best_epoch : 28
epoch_cnt: 30, time: 313.45s, tr_loss: 3.41, val_loss: 3.96, F1_overall: 0.57, ER_overall: 0.56, doa_error_gt: 0.83, doa_error_pred: 0.60, good_pks_ratio:0.29, error_metric: 0.49, best_error_metric: 0.49, best_epoch : 28
epoch_cnt: 31, time: 328.44s, tr_loss: 3.38, val_loss: 3.96, F1_overall: 0.58, ER_overall: 0.55, doa_error_gt: 0.83, doa_error_pred: 0.62, good_pks_ratio:0.28, error_metric: 0.49, best_error_metric: 0.49, best_epoch : 28
epoch_cnt: 32, time: 327.25s, tr_loss: 3.33, val_loss: 3.92, F1_overall: 0.60, ER_overall: 0.53, doa_error_gt: 0.83, doa_error_pred: 0.62, good_pks_ratio:0.31, error_metric: 0.47, best_error_metric: 0.47, best_epoch : 32
epoch_cnt: 33, time: 328.94s, tr_loss: 3.28, val_loss: 4.01, F1_overall: 0.59, ER_overall: 0.54, doa_error_gt: 0.83, doa_error_pred: 0.61, good_pks_ratio:0.32, error_metric: 0.48, best_error_metric: 0.47, best_epoch : 32
epoch_cnt: 34, time: 327.86s, tr_loss: 3.23, val_loss: 3.95, F1_overall: 0.60, ER_overall: 0.53, doa_error_gt: 0.82, doa_error_pred: 0.60, good_pks_ratio:0.32, error_metric: 0.47, best_error_metric: 0.47, best_epoch : 34
epoch_cnt: 35, time: 325.96s, tr_loss: 3.19, val_loss: 4.03, F1_overall: 0.59, ER_overall: 0.54, doa_error_gt: 0.83, doa_error_pred: 0.61, good_pks_ratio:0.31, error_metric: 0.48, best_error_metric: 0.47, best_epoch : 34
epoch_cnt: 36, time: 328.93s, tr_loss: 3.14, val_loss: 4.01, F1_overall: 0.61, ER_overall: 0.54, doa_error_gt: 0.82, doa_error_pred: 0.61, good_pks_ratio:0.34, error_metric: 0.46, best_error_metric: 0.46, best_epoch : 36
