epoch_cnt: 24, time: 303.82s, tr_loss: 3.53, val_loss: 3.95, F1_overall: 0.59, ER_overall: 0.56, doa_error_gt: 0.84, doa_error_pred: 0.63, good_pks_ratio:0.28, error_metric: 0.49, best_error_metric: 0.49, best_epoch : 24
epoch_cnt: 25, time: 304.02s, tr_loss: 3.48, val_loss: 3.96, F1_overall: 0.60, ER_overall: 0.57, doa_error_gt: 0.84, doa_error_pred: 0.61, good_pks_ratio:0.30, error_metric: 0.49, best_error_metric: 0.49, best_epoch : 25
epoch_cnt: 26, time: 306.55s, tr_loss: 3.44, val_loss: 3.92, F1_overall: 0.61, ER_overall: 0.56, doa_error_gt: 0.84, doa_error_pred: 0.61, good_pks_ratio:0.32, error_metric: 0.48, best_error_metric: 0.48, best_epoch : 26
epoch_cnt: 27, time: 306.41s, tr_loss: 3.40, val_loss: 3.96, F1_overall: 0.60, ER_overall: 0.56, doa_error_gt: 0.83, doa_error_pred: 0.62, good_pks_ratio:0.29, error_metric: 0.49, best_error_metric: 0.48, best_epoch : 26
epoch_cnt: 28, time: 307.19s, tr_loss: 3.35, val_loss: 3.94, F1_overall: 0.61, ER_overall: 0.57, doa_error_gt: 0.83, doa_error_pred: 0.62, good_pks_ratio:0.30, error_metric: 0.48, best_error_metric: 0.48, best_epoch : 26
epoch_cnt: 29, time: 307.02s, tr_loss: 3.29, val_loss: 3.97, F1_overall: 0.60, ER_overall: 0.57, doa_error_gt: 0.83, doa_error_pred: 0.61, good_pks_ratio:0.33, error_metric: 0.48, best_error_metric: 0.48, best_epoch : 26
epoch_cnt: 30, time: 306.79s, tr_loss: 3.25, val_loss: 3.98, F1_overall: 0.60, ER_overall: 0.60, doa_error_gt: 0.83, doa_error_pred: 0.61, good_pks_ratio:0.35, error_metric: 0.48, best_error_metric: 0.48, best_epoch : 26
epoch_cnt: 31, time: 307.35s, tr_loss: 3.21, val_loss: 3.97, F1_overall: 0.61, ER_overall: 0.62, doa_error_gt: 0.83, doa_error_pred: 0.59, good_pks_ratio:0.36, error_metric: 0.48, best_error_metric: 0.48, best_epoch : 26
epoch_cnt: 32, time: 309.39s, tr_loss: 3.17, val_loss: 4.02, F1_overall: 0.61, ER_overall: 0.61, doa_error_gt: 0.83, doa_error_pred: 0.61, good_pks_ratio:0.36, error_metric: 0.48, best_error_metric: 0.48, best_epoch : 26
epoch_cnt: 33, time: 306.75s, tr_loss: 3.14, val_loss: 4.02, F1_overall: 0.61, ER_overall: 0.58, doa_error_gt: 0.84, doa_error_pred: 0.62, good_pks_ratio:0.34, error_metric: 0.48, best_error_metric: 0.48, best_epoch : 33
epoch_cnt: 34, time: 307.06s, tr_loss: 3.10, val_loss: 4.04, F1_overall: 0.61, ER_overall: 0.59, doa_error_gt: 0.83, doa_error_pred: 0.62, good_pks_ratio:0.34, error_metric: 0.48, best_error_metric: 0.48, best_epoch : 33
epoch_cnt: 35, time: 306.87s, tr_loss: 3.05, val_loss: 4.03, F1_overall: 0.60, ER_overall: 0.59, doa_error_gt: 0.83, doa_error_pred: 0.62, good_pks_ratio:0.35, error_metric: 0.48, best_error_metric: 0.48, best_epoch : 33
epoch_cnt: 36, time: 307.09s, tr_loss: 3.02, val_loss: 4.03, F1_overall: 0.62, ER_overall: 0.60, doa_error_gt: 0.82, doa_error_pred: 0.61, good_pks_ratio:0.36, error_metric: 0.47, best_error_metric: 0.47, best_epoch : 36
epoch_cnt: 37, time: 306.49s, tr_loss: 2.99, val_loss: 3.99, F1_overall: 0.60, ER_overall: 0.63, doa_error_gt: 0.81, doa_error_pred: 0.60, good_pks_ratio:0.37, error_metric: 0.48, best_error_metric: 0.47, best_epoch : 36
epoch_cnt: 38, time: 305.19s, tr_loss: 2.94, val_loss: 4.14, F1_overall: 0.60, ER_overall: 0.61, doa_error_gt: 0.84, doa_error_pred: 0.62, good_pks_ratio:0.35, error_metric: 0.48, best_error_metric: 0.47, best_epoch : 36
