epoch_cnt: 24, time: 305.69s, tr_loss: 0.10, val_loss: 0.27, F1_overall: 0.85, ER_overall: 0.30, doa_error_gt: 0.31, doa_error_pred: 0.27, good_pks_ratio:0.95, error_metric: 0.15, best_error_metric: 0.14, best_epoch : 23
epoch_cnt: 25, time: 304.31s, tr_loss: 0.09, val_loss: 0.28, F1_overall: 0.85, ER_overall: 0.30, doa_error_gt: 0.31, doa_error_pred: 0.28, good_pks_ratio:0.96, error_metric: 0.15, best_error_metric: 0.14, best_epoch : 23
epoch_cnt: 26, time: 305.05s, tr_loss: 0.09, val_loss: 0.24, F1_overall: 0.85, ER_overall: 0.29, doa_error_gt: 0.30, doa_error_pred: 0.26, good_pks_ratio:0.96, error_metric: 0.14, best_error_metric: 0.14, best_epoch : 26
epoch_cnt: 27, time: 308.52s, tr_loss: 0.08, val_loss: 0.27, F1_overall: 0.84, ER_overall: 0.31, doa_error_gt: 0.31, doa_error_pred: 0.28, good_pks_ratio:0.96, error_metric: 0.15, best_error_metric: 0.14, best_epoch : 26
epoch_cnt: 28, time: 308.65s, tr_loss: 0.09, val_loss: 0.25, F1_overall: 0.85, ER_overall: 0.30, doa_error_gt: 0.30, doa_error_pred: 0.26, good_pks_ratio:0.96, error_metric: 0.15, best_error_metric: 0.14, best_epoch : 26
epoch_cnt: 29, time: 308.32s, tr_loss: 0.08, val_loss: 0.26, F1_overall: 0.84, ER_overall: 0.31, doa_error_gt: 0.31, doa_error_pred: 0.26, good_pks_ratio:0.95, error_metric: 0.15, best_error_metric: 0.14, best_epoch : 26
epoch_cnt: 30, time: 309.77s, tr_loss: 0.09, val_loss: 0.24, F1_overall: 0.86, ER_overall: 0.28, doa_error_gt: 0.29, doa_error_pred: 0.25, good_pks_ratio:0.96, error_metric: 0.14, best_error_metric: 0.14, best_epoch : 30
epoch_cnt: 31, time: 308.56s, tr_loss: 0.08, val_loss: 0.25, F1_overall: 0.84, ER_overall: 0.33, doa_error_gt: 0.30, doa_error_pred: 0.26, good_pks_ratio:0.96, error_metric: 0.16, best_error_metric: 0.14, best_epoch : 30
epoch_cnt: 32, time: 308.41s, tr_loss: 0.07, val_loss: 0.26, F1_overall: 0.85, ER_overall: 0.29, doa_error_gt: 0.31, doa_error_pred: 0.27, good_pks_ratio:0.96, error_metric: 0.14, best_error_metric: 0.14, best_epoch : 30
epoch_cnt: 33, time: 307.74s, tr_loss: 0.07, val_loss: 0.27, F1_overall: 0.83, ER_overall: 0.33, doa_error_gt: 0.29, doa_error_pred: 0.26, good_pks_ratio:0.97, error_metric: 0.16, best_error_metric: 0.14, best_epoch : 30
