Relying on driver to perform ptx compilation. This message will be only logged once.
epoch_cnt: 24, time: 307.03s, tr_loss: 1.22, val_loss: 1.65, F1_overall: 0.78, ER_overall: 0.39, doa_error_gt: 0.61, doa_error_pred: 0.47, good_pks_ratio:0.57, error_metric: 0.31, best_error_metric: 0.31, best_epoch : 24
epoch_cnt: 25, time: 304.76s, tr_loss: 1.18, val_loss: 1.62, F1_overall: 0.78, ER_overall: 0.39, doa_error_gt: 0.59, doa_error_pred: 0.46, good_pks_ratio:0.58, error_metric: 0.31, best_error_metric: 0.31, best_epoch : 25
epoch_cnt: 26, time: 305.42s, tr_loss: 1.15, val_loss: 1.59, F1_overall: 0.78, ER_overall: 0.38, doa_error_gt: 0.58, doa_error_pred: 0.44, good_pks_ratio:0.57, error_metric: 0.31, best_error_metric: 0.31, best_epoch : 26
epoch_cnt: 27, time: 305.06s, tr_loss: 1.12, val_loss: 1.59, F1_overall: 0.78, ER_overall: 0.41, doa_error_gt: 0.58, doa_error_pred: 0.45, good_pks_ratio:0.58, error_metric: 0.31, best_error_metric: 0.31, best_epoch : 26
epoch_cnt: 28, time: 306.60s, tr_loss: 1.10, val_loss: 1.51, F1_overall: 0.79, ER_overall: 0.38, doa_error_gt: 0.56, doa_error_pred: 0.43, good_pks_ratio:0.58, error_metric: 0.30, best_error_metric: 0.30, best_epoch : 28
epoch_cnt: 29, time: 307.09s, tr_loss: 1.07, val_loss: 1.53, F1_overall: 0.79, ER_overall: 0.38, doa_error_gt: 0.57, doa_error_pred: 0.44, good_pks_ratio:0.58, error_metric: 0.30, best_error_metric: 0.30, best_epoch : 28
epoch_cnt: 30, time: 305.38s, tr_loss: 1.06, val_loss: 1.58, F1_overall: 0.78, ER_overall: 0.39, doa_error_gt: 0.57, doa_error_pred: 0.44, good_pks_ratio:0.58, error_metric: 0.30, best_error_metric: 0.30, best_epoch : 28
epoch_cnt: 31, time: 305.66s, tr_loss: 1.03, val_loss: 1.50, F1_overall: 0.78, ER_overall: 0.41, doa_error_gt: 0.56, doa_error_pred: 0.43, good_pks_ratio:0.60, error_metric: 0.30, best_error_metric: 0.30, best_epoch : 28
epoch_cnt: 32, time: 305.19s, tr_loss: 1.02, val_loss: 1.56, F1_overall: 0.77, ER_overall: 0.41, doa_error_gt: 0.56, doa_error_pred: 0.43, good_pks_ratio:0.58, error_metric: 0.31, best_error_metric: 0.30, best_epoch : 28
epoch_cnt: 33, time: 304.05s, tr_loss: 0.99, val_loss: 1.57, F1_overall: 0.78, ER_overall: 0.38, doa_error_gt: 0.58, doa_error_pred: 0.44, good_pks_ratio:0.58, error_metric: 0.30, best_error_metric: 0.30, best_epoch : 28
epoch_cnt: 34, time: 304.20s, tr_loss: 0.97, val_loss: 1.53, F1_overall: 0.77, ER_overall: 0.44, doa_error_gt: 0.55, doa_error_pred: 0.43, good_pks_ratio:0.60, error_metric: 0.31, best_error_metric: 0.30, best_epoch : 28
epoch_cnt: 35, time: 301.31s, tr_loss: 0.96, val_loss: 1.52, F1_overall: 0.79, ER_overall: 0.39, doa_error_gt: 0.56, doa_error_pred: 0.43, good_pks_ratio:0.60, error_metric: 0.30, best_error_metric: 0.30, best_epoch : 28
epoch_cnt: 36, time: 301.85s, tr_loss: 0.95, val_loss: 1.53, F1_overall: 0.78, ER_overall: 0.41, doa_error_gt: 0.55, doa_error_pred: 0.44, good_pks_ratio:0.61, error_metric: 0.30, best_error_metric: 0.30, best_epoch : 28
epoch_cnt: 37, time: 303.16s, tr_loss: 0.93, val_loss: 1.48, F1_overall: 0.78, ER_overall: 0.40, doa_error_gt: 0.53, doa_error_pred: 0.42, good_pks_ratio:0.61, error_metric: 0.29, best_error_metric: 0.29, best_epoch : 37
